Город,Численность населения,Страна
Вальс-Зиценхайм,"11,57",Австрия
Ньюри,"27,43",Северная Ирландия
Орск,"245,00",Россия
Вольфсберг,"25,36",Австрия
Вервье,"16,77",Бельгия
Бергамо,"116,40",Италия
Северск,"107,00",Россия
Суаньи,"25,42",Бельгия
Римини,"139,42",Италия
Малорита,"11,70",Белоруссия
Высокое,"5,40",Белоруссия
Сиддживи,"7,90",Мальта
Нижний Новгород,"1271,00",Россия
Армавир,"188,00",Россия
Артём,"101,80",Россия
Южно-Сахалинск,"175,00",Россия
Кырыккале,"191,16",Турция
Бремен,"547,36",Германия
Лозанна,"122,28",Швейцария
Самалут,"96,64",Египет
Вервье,"6,67",Бельгия
Танта,"437,79",Египет
Эссен,"579,76",Германия
Бохум,"378,60",Германия
Льеж,"60,74",Бельгия
Лас-Пальмас-де-Гран-Канария,"378,63",Испания
Ивье,"8,10",Белоруссия
Тимай-эль-Амдид,"14,71",Египет
Бандырма,"112,74",Турция
Эль-Манша,"73,74",Египет
Караман,"131,58",Турция
Берёзовка,"10,80",Белоруссия
Талас,"80,76",Турция
Толочин,"10,20",Белоруссия
Рашид,"73,93",Египет
Денизли,"492,82",Турция
Мурманск,"309,00",Россия
Василевичи,"3,90",Белоруссия
Берёза,"29,40",Белоруссия
Марш-ан-Фаменн,"16,99",Бельгия
Новополоцк,"98,20",Белоруссия
Бейликдюзю,"184,48",Турция
Суаньи,"7,98",Бельгия
Кортрейк,"26,17",Бельгия
Кёфлах,"10,13",Австрия
Гранада,"236,98",Испания
Диярбакыр,"614,31",Турция
Новотроицк,"101,00",Россия
Кызыл,"110,00",Россия
Дар-эс-Салам,"87,02",Египет
Иваново,"16,10",Белоруссия
Феррара,"133,98",Италия
Дортмунд,"584,41",Германия
Халль-ин-Тироль,"12,42",Австрия
Борисов,"147,10",Белоруссия
Тонгерен,"29,69",Бельгия
Вервье,"10,54",Бельгия
Мюнхен,"1326,81",Германия
Чорум,"210,82",Турция
Осиповичи,"32,40",Белоруссия
Солсбери,"45,00",Англия
Бу-Саада,"121,30",Алжир
Вупперталь,"353,31",Германия
Швехат,"16,07",Австрия
Туров,"2,90",Белоруссия
Сан-Пауль-иль-Бахар,"13,62",Мальта
Дарем,"94,30",Англия
Пенза,"506,00",Россия
Штутгарт,"600,07",Германия
Вилейка,"26,80",Белоруссия
Ветка,"8,00",Белоруссия
Алст,"24,55",Бельгия
Линкольн,"87,80",Англия
Владикавказ,"312,00",Россия
Лёвен,"31,84",Бельгия
Виртон,"5,01",Бельгия
Новочеркасск,"177,00",Россия
Александрия,"4388,22",Египет
Копыль,"9,90",Белоруссия
Микашевичи,"13,00",Белоруссия
Минуф,"91,27",Египет
Гафса,"84,68",Тунис
