N,Город,Регион,Федеральный_округ,Население,Основан,Статус_города,Прежние_названия
368,Каменск-Шахтинский,Ростовская область,Южный,86 365,1671,1927,Каменская (до 1927);
369,Камень-на-Оби,Алтайский край,Сибирский,32 385,1751,1915,Камень (до 1933)
370,Камешково,Владимирская область,Центральный,12 028,1892,1951,Авдотьино
371,Камызяк,Астраханская область,Южный,16 154,1560,1973,
372,Камышин,Волгоградская область,Южный,107 927,1668,1780,Дмитриевск (до 1780)
373,Камышлов,Свердловская область,Уральский,27 117,1668,1781,"Камышенский острог, Камышевская слобода, Камышловская слобода"
374,Канаш,Чувашия,Приволжский,44 354,1892,1925,Шихраны (до 1925)
375,Кандалакша,Мурманская область,Северо-Западный,29 138,1517,1938,
376,Канск,Красноярский край,Сибирский,86 816,1636,1782,
377,Карабаново,Владимирская область,Центральный,13 150,1630,1938,
378,Карабаш,Челябинская область,Уральский,10 514,1822,1933,Соймановский
379,Карабулак,Ингушетия,Северо-Кавказский,43 037,1859,1995,Карабулакская (до 1962)
380,Карасук,Новосибирская область,Сибирский,24 890,1912,1954,
381,Карачаевск,Карачаево-Черкесия,Северо-Кавказский,23 867,1926,1929,Микоян-Шахар (до 1943);
382,Карачев,Брянская область,Центральный,17 449,1146,1146,Корачев
383,Каргат,Новосибирская область,Сибирский,8 316,XVIII век,1965,
384,Каргополь,Архангельская область,Северо-Западный,8 849,1447,1613,
385,Карпинск,Свердловская область,Уральский,25 879,1759,1941,Богословск (до 1933);
386,Карталы,Челябинская область,Уральский,27 103,1810,1944,"Полтавский, Полтавка"
387,Касимов,Рязанская область,Центральный,28 443,1152,1152,Городец Мещёрский (до 1376);
388,Касли,Челябинская область,Уральский,15 383,1747,1942,Каслинский
389,Каспийск,Дагестан,Северо-Кавказский,121 140,1932,1947,Двигательстрой (до 1947)
390,Катав-Ивановск,Челябинская область,Уральский,14 663,1755,1938,Катав-Ивановский Завод
391,Катайск,Курганская область,Уральский,11 881,1655,1944,
392,Качканар,Свердловская область,Уральский,37 307,1957,1968,
393,Кашин,Тверская область,Центральный,14 113,1238,1238,
394,Кашира,Московская область,Центральный,45 922,1356,1777,
395,Кедровый,Томская область,Сибирский,1 818,1982,1987,
396,Кемерово,Кемеровская область,Сибирский,557 119,1918,1918,Щеглово (до 1918);
397,Кемь,Карелия,Северо-Западный,10 018,XIV век,1785,
398,Керчьне призн.,Крым,Южный,154 621,VII—VI век до н. э.,,"Черкио, Воспоро, Корчев, Боспор, Пантикапей"
399,Кизел,Пермский край,Приволжский,15 619,1750,1926,Кизеловский завод
400,Кизилюрт,Дагестан,Северо-Кавказский,38 335,1927,1963,"Красный, Кизил-Юрт"
401,Кизляр,Дагестан,Северо-Кавказский,49 999,1735,1785,
402,Кимовск,Тульская область,Центральный,26 475,XVII век,1952,Михайловский (до 1948)
403,Кимры,Тверская область,Центральный,40 875,1546,1917,
404,Кингисепп,Ленинградская область,Северо-Западный,49 716,1384,1784,Ям (до 1703);
405,Кинель,Самарская область,Приволжский,36 729,1837,1944,
406,Кинешма,Ивановская область,Центральный,77 694,1429,1504,
407,Киреевск,Тульская область,Центральный,25 560,1762,1956,Киреевка
408,Киренск,Иркутская область,Сибирский,10 998,1630,1775,"Никольский погост, Усть-Киренск"
409,Киржач,Владимирская область,Центральный,27 318,1332,1778,
410,Кириллов,Вологодская область,Северо-Западный,7 149,1397,1776,
411,Кириши,Ленинградская область,Северо-Западный,51 028,1693,1965,"Киреши, Киреш"
412,Киров,Калужская область,Центральный,28 097,1745,1936,Песочня (до 1936)
413,Киров,Кировская область,Приволжский,468 212,1181,1181,Хлынов (до 1780);
414,Кировград,Свердловская область,Уральский,18 698,1661,1932,Калата (до 1936)
415,Кирово-Чепецк,Кировская область,Приволжский,66 651,1935,1955,Усть-Чепца (до 1942);
416,Кировск,Ленинградская область,Северо-Западный,27 238,1931,1953,Невдубрстрой (до 1953)
417,Кировск,Мурманская область,Северо-Западный,24 857,1929,1931,Хибиногорск (до 1934)
418,Кирс,Кировская область,Приволжский,8 982,1729,1965,
419,Кирсанов,Тамбовская область,Центральный,16 164,1702,1779,
420,Киселёвск,Кемеровская область,Сибирский,83 431,1917,1936,
421,Кисловодск,Ставропольский край,Северо-Кавказский,127 521,1803,1903,Кисловодская (до 1903)
422,Клин,Московская область,Центральный,88 511,1317,1781,
423,Клинцы,Брянская область,Центральный,63 059,1707,1925,
424,Княгинино,Нижегородская область,Приволжский,6 447,1569,1998,Княгинин (до 1925)
425,Ковдор,Мурманская область,Северо-Западный,15 770,1953,1965,
426,Ковров,Владимирская область,Центральный,132 417,XII век,1778,
427,Ковылкино,Мордовия,Приволжский,19 793,1892,1960,"Воскресенская Лашма, Лашма, Кашаево, Арапово"
428,Когалым,Ханты-Мансийский АО,Уральский,61 441,1975,1985,Когалымский
429,Кодинск,Красноярский край,Сибирский,13 324,1977,1989,
430,Козельск,Калужская область,Центральный,16 759,XII век,1146,
431,Козловка,Чувашия,Приволжский,7 781,1671,1967,
432,Козьмодемьянск,Марий Эл,Приволжский,19 731,1583,1781,
433,Кола,Мурманская область,Северо-Западный,9 016,1517,1965,
434,Кологрив,Костромская область,Центральный,2 468,XVII век,1778,
435,Коломна,Московская область,Центральный,134 850,1177,1177,
436,Колпашево,Томская область,Сибирский,20 824,XVII век,1938,
437,Колтуши,Ленинградская область,Северо-Западный,14 052,1500,2023,
438,Кольчугино,Владимирская область,Центральный,39 410,1871,1931,
439,Коммунар,Ленинградская область,Северо-Западный,25 793,1843,1993,"Антропшино, Царская Славянка, Павловская Славянка, посёлок при фабрике Роджерса и Пейффера"
440,Комсомольск,Ивановская область,Центральный,8 364,1931,1950,
441,Комсомольск-на-Амуре,Хабаровский край,Дальневосточный,238 505,1860,1932,Пермское
442,Конаково,Тверская область,Центральный,33 560,1806,1937,Кузнецово (до 1929)
443,Кондопога,Карелия,Северо-Западный,25 851,1563,1938,
444,Кондрово,Калужская область,Центральный,15 734,1615,1938,Кондырево (до 1938)
445,Константиновск,Ростовская область,Южный,17 207,1593,1967,Константиновская (до 1941);
446,Копейск,Челябинская область,Уральский,147 806,1907,1933,"Тугайкуль (до 1907),"
447,Кораблино,Рязанская область,Центральный,10 334,1676,1965,Кораблинск
448,Кореновск,Краснодарский край,Южный,41 826,1794,1961,Кореновская (до 1961)
449,Коркино,Челябинская область,Уральский,37 224,1795,1942,"Коркина, Коркинский"
450,Королёв,Московская область,Центральный,228 095,1938,1938,Подлипки (до 1928);
451,Короча,Белгородская область,Центральный,5 623,1637,1638,
452,Корсаков,Сахалинская область,Дальневосточный,33 950,1853,1946,Муравьёвский пост (до 1854);
453,Коряжма,Архангельская область,Северо-Западный,34 523,1535,1985,
454,Костерёво,Владимирская область,Центральный,7 113,1890,1981,
455,Костомукша,Карелия,Северо-Западный,26 048,1977,1983,
456,Кострома,Костромская область,Центральный,267 481,1152,1152,
457,Котельники,Московская область,Центральный,63 728,XVII век,2004,
458,Котельниково,Волгоградская область,Южный,22 016,1897,1955,Котельниковская (до 1929);
459,Котельнич,Кировская область,Приволжский,20 144,1143,1780,Кокшаров
460,Котлас,Архангельская область,Северо-Западный,56 093,1617,1917,Кодлас
461,Котово,Волгоградская область,Южный,21 028,1710-е,1966,
462,Котовск,Тамбовская область,Центральный,26 694,1940,1940,Пороховой Завод (до 1918);
463,Кохма,Ивановская область,Центральный,30 940,1619,1925,
464,Красавино,Вологодская область,Северо-Западный,5 601,1848,1947,
465,Красноармейск,Московская область,Центральный,26 492,1928,1947,Муромцево (до 1928);
466,Красноармейск,Саратовская область,Приволжский,21 350,1765,1918,Голый Карамыш (до 1925);
467,Красновишерск,Пермский край,Приволжский,14 460,1894,1942,Вижаиха (до 1930)
468,Красногорск,Московская область,Центральный,187 634,1932,1940,
469,Краснодар,Краснодарский край,Южный,1 099 344,1793,1867,Екатеринодар (до 1920)
470,Краснозаводск,Московская область,Центральный,14 639,1916,1940,рабочий посёлок завода № 11 (до 1937);
471,Краснознаменск,Калининградская область,Северо-Западный,3 419,1576,1946,Лаздинай (до 1734);
472,Краснознаменск,Московская область,Центральный,43 868,1952,1981,Голицыно-2 (до 1977)
473,Краснокаменск,Забайкальский край,Сибирский,51 137,1967,1969,
474,Краснокамск,Пермский край,Приволжский,48 778,1929,1938,Бумстрой (до 1930)
475,Красноперекопскне призн.,Крым,Южный,25 569,1932,1966,селение при Перекопском бромном заводе (до 1938)
476,Краснослободск,Волгоградская область,Южный,16 545,1870,1955,Букатин (до 1923);
477,Краснослободск,Мордовия,Приволжский,8 910,1571,1706,Красная Слобода (до 1780)
478,Краснотурьинск,Свердловская область,Уральский,55 875,1758,1944,Турьинские рудники (до 1944)
479,Красноуральск,Свердловская область,Уральский,21 507,1925,1931,Богомолстрой (до 1929);
480,Красноуфимск,Свердловская область,Уральский,37 301,1736,1781,
481,Красноярск,Красноярский край,Сибирский,1 205 473,1628,1690,Новокачинский острог (до 1659);
482,Красный Кут,Саратовская область,Приволжский,14 296,1837,1966,
483,Красный Сулин,Ростовская область,Южный,35 697,1797,1926,Сулин (до 1926)
484,Красный Холм,Тверская область,Центральный,4 998,1518,1776,
485,Кремёнки,Калужская область,Центральный,11 745,XVIII век,2004,
486,Кропоткин,Краснодарский край,Южный,75 858,1879,1921,Романовский (до 1921)
487,Крымск,Краснодарский край,Южный,54 597,1862,1958,Крымская (до 1958)
488,Кстово,Нижегородская область,Приволжский,63 646,XIV век,1957,
489,Кубинка,Московская область,Центральный,23 146,XV век,2004,
490,Кувандык,Оренбургская область,Приволжский,26 596,XIX век,1953,
491,Кувшиново,Тверская область,Центральный,9 262,1910,1938,
492,Кудрово,Ленинградская область,Северо-Западный,60 791,1926,2018,
493,Кудымкар,Пермский край,Приволжский,28 293,1579,1938,
494,Кузнецк,Пензенская область,Приволжский,78 390,1699,1780,"Труёво, Труёво-Воскресенское, Нарышкино"
495,Куйбышев,Новосибирская область,Сибирский,41 946,1722,1722,Каинск (до 1935)
496,Кукмор,Татарстан,Приволжский,17 886,1741,2017,Таишевский завод
497,Кулебаки,Нижегородская область,Приволжский,32 184,1677,1932,
498,Кумертау,Башкортостан,Приволжский,57 949,1947,1953,
499,Кунгур,Пермский край,Приволжский,62 673,1663,1781,
500,Купино,Новосибирская область,Сибирский,15 065,1886,1944,Моховое (до 1909)
501,Курган,Курганская область,Уральский,310 911,1679,1782,Царёво Городище (до 1738);
502,Курганинск,Краснодарский край,Южный,47 305,1855,1961,Курганная (до 1961)
503,Курильск,Сахалинская область,Дальневосточный,2 530,XVIII век,1947,Сяна (до 1947)
504,Курлово,Владимирская область,Центральный,6 309,1811,1998,Курловский (до 1998)
505,Куровское,Московская область,Центральный,19 857,1646,1952,
506,Курск,Курская область,Центральный,440 052,1032,1779,
507,Куртамыш,Курганская область,Уральский,14 806,1745,1956,
508,Курчалой,Чечня,Северо-Кавказский,23 425,1860,2019,Чкалово (с 1944 до 1958)
509,Курчатов,Курская область,Центральный,40 318,1968,1983,
510,Куса,Челябинская область,Уральский,17 136,1778,1943,Кусинский завод
511,Кушва,Свердловская область,Уральский,27 306,1735,1925,Кушвинский Завод (до 1926)
512,Кызыл,Тыва,Сибирский,125 241,1914,1914,Белоцарск (до 1918);
513,Кыштым,Челябинская область,Уральский,36 045,1757,1934,"Верхне-Кыштымский завод, Нижне-Кыштымский завод, Кыштымский завод"
514,Кяхта,Бурятия,Сибирский,17 877,1727,1805,Троицкосавск (до 1934)
515,Лабинск,Краснодарский край,Южный,57 428,1841,1947,Лабинская
516,Лабытнанги,Ямало-Ненецкий АО,Уральский,25 501,1890,1975,
517,Лагань,Калмыкия,Южный,13 834,1870,1963,Каспийский (с 1944 до 1991)
518,Ладушкин,Калининградская область,Северо-Западный,3 666,1314,1946,Людвигсорт (до 1946)
519,Лаишево,Татарстан,Приволжский,9 076,1557,2004,Лаишев (до 1926)
520,Лакинск,Владимирская область,Центральный,12 861,XV век,1969,Ундол (до 1922);
521,Лангепас,Ханты-Мансийский АО,Уральский,42 701,1980,1985,
522,Лахденпохья,Карелия,Северо-Западный,5 952,1600,1945,"Якимвара, Якимварская станция (до 1918)"
523,Лебедянь,Липецкая область,Центральный,20 049,1605,1613,
524,Лениногорск,Татарстан,Приволжский,60 993,1795,1955,Новая Письмянка (до 1955)
525,Ленинск,Волгоградская область,Южный,13 391,1802,1963,Пришиб (до 1919)
526,Ленинск-Кузнецкий,Кемеровская область,Сибирский,92 244,1763,1925,Кольчугино (до 1922);
527,Ленск,Якутия,Дальневосточный,21 392,1663,1963,Мухтуя (до 1963)
528,Лермонтов,Ставропольский край,Северо-Кавказский,22 444,1953,1956,населённый пункт рудоуправления № 10 (до 1954);
529,Лесной,Свердловская область,Уральский,48 261,1947,1954,База-9 (до 1954);
530,Лесозаводск,Приморский край,Дальневосточный,35 433,1932,1938,
531,Лесосибирск,Красноярский край,Сибирский,55 730,1975,1975,"Маклаково, Новомаклаково"
532,Ливны,Орловская область,Центральный,43 549,1586,1586,
533,Ликино-Дулёво,Московская область,Центральный,34 191,1930,1937,
534,Липецк,Липецкая область,Центральный,496 403,1703,1779,Липские Заводы (до 1779)
535,Липки,Тульская область,Центральный,8 325,XVII век,1955,
536,Лиски,Воронежская область,Центральный,54 147,XVI век,1937,Новая Покровка (до 1928);
537,Лихославль,Тверская область,Центральный,11 017,1624,1925,
538,Лобня,Московская область,Центральный,82 764,1902,1961,
539,Лодейное Поле,Ленинградская область,Северо-Западный,18 905,1702,1785,
540,Лосино-Петровский,Московская область,Центральный,29 000,1708,1951,Петровская слобода (до 1928)
541,Луга,Ленинградская область,Северо-Западный,38 407,1777,1777,
542,Луза,Кировская область,Приволжский,9 122,1899,1944,
543,Лукоянов,Нижегородская область,Приволжский,12 652,XVI век,1779,
544,Луховицы,Московская область,Центральный,29 889,1594,1957,Глуховичи
545,Лысково,Нижегородская область,Приволжский,21 657,1410,1922,
546,Лысьва,Пермский край,Приволжский,53 855,1785,1926,
547,Лыткарино,Московская область,Центральный,65 212,1429,1957,
548,Льгов,Курская область,Центральный,17 557,1152,1779,Ольгов
549,Любань,Ленинградская область,Северо-Западный,4 565,1499,1917,Любани
550,Люберцы,Московская область,Центральный,224 195,1623,1925,
551,Любим,Ярославская область,Центральный,5 037,1538,1777,
552,Людиново,Калужская область,Центральный,35 874,1626,1938,
553,Лянтор,Ханты-Мансийский АО,Уральский,40 977,1932,1992,"Пим, Лянторский"
554,Магадан,Магаданская область,Дальневосточный,90 757,1929,1939,
555,Магас,Ингушетия,Северо-Кавказский,15 271,1994,2000,
556,Магнитогорск,Челябинская область,Уральский,410 594,1929,1931,Магнитная (до 1929)
557,Майкоп,Адыгея,Южный,143 385,1857,1870,
558,Майский,Кабардино-Балкария,Северо-Кавказский,26 632,XIX век,1965,Пришибская (до 1925)
559,Макаров,Сахалинская область,Дальневосточный,5 848,1892,1946,Селютора (до 1945);
560,Макарьев,Костромская область,Центральный,5 528,1439,1778,Макарьевская слобода
561,Макушино,Курганская область,Уральский,6 827,1797,1963,
562,Малая Вишера,Новгородская область,Северо-Западный,9 996,1843,1921,
563,Малгобек,Ингушетия,Северо-Кавказский,36 480,1934,1939,Вознесенское (до 1934)
564,Малмыж,Кировская область,Приволжский,6 931,XV век,1780,
565,Малоархангельск,Орловская область,Центральный,3 609,XVII век,1778,
566,Малоярославец,Калужская область,Центральный,41 836,1402,1776,
567,Мамадыш,Татарстан,Приволжский,15 726,1391,1781,
568,Мамоново,Калининградская область,Северо-Западный,8 314,1301,1301,Хайлигенбайль (до 1947)
569,Мантурово,Костромская область,Центральный,13 043,1617,1958,
570,Мариинск,Кемеровская область,Сибирский,40 779,1698,1856,Кийское (до 1857)
571,Мариинский Посад,Чувашия,Приволжский,7 851,1620,1856,Сундырь (до 1856)
572,Маркс,Саратовская область,Приволжский,28 749,1765,1918,"Баронск, Екатериненштадт (до 1915);"
573,Махачкала,Дагестан,Северо-Кавказский,623 254,1844,1857,Петровское (до 1857);
574,Мглин,Брянская область,Центральный,6 919,1387,1154,
575,Мегион,Ханты-Мансийский АО,Уральский,52 887,1810,1980,
576,Медвежьегорск,Карелия,Северо-Западный,11 962,1916,1938,Медвежья Гора (до 1938)
577,Медногорск,Оренбургская область,Приволжский,23 693,1933,1939,
578,Медынь,Калужская область,Центральный,8 200,1386,1386,
579,Межгорье,Башкортостан,Приволжский,15 697,1979,1995,"Ильмяш, Татлы, Кузъелга, Уфа-105, Солнечный ,Белорецк-15, Белорецк-16"
580,Междуреченск,Кемеровская область,Сибирский,96 174,1946,1955,Ольжерасс (до 1955)
581,Мезень,Архангельская область,Северо-Западный,2 874,XVI век,1780,
582,Меленки,Владимирская область,Центральный,13 407,XVIII век,1778,
583,Мелеуз,Башкортостан,Приволжский,56 505,1766,1958,
584,Менделеевск,Татарстан,Приволжский,22 875,1868,1967,Бондюжский (до 1928);
585,Мензелинск,Татарстан,Приволжский,16 008,1586,1781,
586,Мещовск,Калужская область,Центральный,3 810,1238,1776,
587,Миасс,Челябинская область,Уральский,147 995,1773,1919,Миясский завод
588,Микунь,Коми,Северо-Западный,8 527,1937,1959,
589,Миллерово,Ростовская область,Южный,34 841,1786,1926,Миллеров-Глубокинский
590,Минеральные Воды,Ставропольский край,Северо-Кавказский,70 485,1878,1922,Султановский (до 1898);
591,Минусинск,Красноярский край,Сибирский,70 089,1739,1822,
592,Миньяр,Челябинская область,Уральский,8 500,1771,1943,
593,Мирный,Якутия,Дальневосточный,34 045,1955,1959,
594,Мирный,Архангельская область,Северо-Западный,27 262,1957,1967,"Ленинград-400, Ленинград-300, Мирный-12"
595,Михайлов,Рязанская область,Центральный,10 303,1137,1551,
596,Михайловка,Волгоградская область,Южный,56 031,1762,1948,
597,Михайловск,Свердловская область,Уральский,9 756,1805,1961,Михайловский (до 1961)
598,Михайловск,Ставропольский край,Северо-Кавказский,114 133,1784,1999,Михайловское (до 1963);
599,Мичуринск,Тамбовская область,Центральный,90 451,1635,1635,Козлов (до 1932)
600,Могоча,Забайкальский край,Сибирский,12 390,1910,1950,
601,Можайск,Московская область,Центральный,33 880,1231,1277,
602,Можга,Удмуртия,Приволжский,44 345,1835,1926,Сюгинский завод (до 1924);
603,Моздок,Северная Осетия,Северо-Кавказский,36 784,1763,1785,
604,Мончегорск,Мурманская область,Северо-Западный,39 962,1937,1937,Монча-Губа
605,Морозовск,Ростовская область,Южный,24 258,1910,1941,Таубевская (до 1917);
606,Моршанск,Тамбовская область,Центральный,39 023,1623,1779,Морша (до 1779)
607,Мосальск,Калужская область,Центральный,4 234,1231,1776,
608,Москва,Москва,Центральный,13 010 112,1147,1147,
609,Муравленко,Ямало-Ненецкий АО,Уральский,29 233,1984,1990,
610,Мураши,Кировская область,Приволжский,5 700,1895,1944,
611,Мурино,Ленинградская область,Северо-Западный,89 083,1676,2019,
612,Мурманск,Мурманская область,Северо-Западный,270 384,1916,1916,Романов-на-Мурмане (до 1917)
613,Муром,Владимирская область,Центральный,107 497,862,862,
614,Мценск,Орловская область,Центральный,36 960,1146,1778,
615,Мыски,Кемеровская область,Сибирский,40 109,1826,1956,Томазак
616,Мытищи,Московская область,Центральный,255 429,1460,1925,
617,Мышкин,Ярославская область,Центральный,5 621,XV век,1991,Мышкино (с 1943 до 1991)
618,Набережные Челны,Татарстан,Приволжский,548 434,1626,1930,Брежнев (с 1982 до 1988)
619,Навашино,Нижегородская область,Приволжский,14 664,1891,1957,Мордовщиково (до 1957)
620,Наволоки,Ивановская область,Центральный,8 167,1775,1938,
621,Надым,Ямало-Ненецкий АО,Уральский,45 973,1597,1972,
622,Назарово,Красноярский край,Сибирский,45 333,1700,1961,Назаровское
623,Назрань,Ингушетия,Северо-Кавказский,122 350,1781,1967,Коста-Хетагурово (с 1944 до 1959)
624,Называевск,Омская область,Сибирский,10 434,1910,1956,Сибирский посад (до 1917);
625,Нальчик,Кабардино-Балкария,Северо-Кавказский,247 054,1724,1921,
626,Нариманов,Астраханская область,Южный,11 104,1963,1984,Нижневолжский (до 1984)
627,Наро-Фоминск,Московская область,Центральный,71 121,1840,1926,
628,Нарткала,Кабардино-Балкария,Северо-Кавказский,33 203,1913,1955,Докшукино (до 1967)
629,Нарьян-Мар,Ненецкий АО,Северо-Западный,23 399,1929,1935,Белощелье
630,Наурская,Чечня,Северо-Кавказский,10 840,1642,2024,
631,Находка,Приморский край,Дальневосточный,139 931,1864,1950,
632,Невель,Псковская область,Северо-Западный,13 980,1562,1773,
633,Невельск,Сахалинская область,Дальневосточный,10 608,1946,1946,Понто-Кэси (до 1905);
634,Невинномысск,Ставропольский край,Северо-Кавказский,117 562,1825,1939,Невинномысская
635,Невьянск,Свердловская область,Уральский,22 061,1701,1919,Невьянский завод
636,Нелидово,Тверская область,Центральный,18 603,1900,1924,
637,Неман,Калининградская область,Северо-Западный,9 255,1277,1722,Рагнит (до 1946)
638,Нерехта,Костромская область,Центральный,19 977,1214,1778,
639,Нерчинск,Забайкальский край,Сибирский,15 290,1653,1689,"Нелюцкий острог, Нерчинский острог"
640,Нерюнгри,Якутия,Дальневосточный,53 409,1975,1975,Нерюнгра
641,Нестеров,Калининградская область,Северо-Западный,3 336,1539,1722,Шталлупёнен (до 1938);
642,Нефтегорск,Самарская область,Приволжский,18 076,1960,1989,
643,Нефтекамск,Башкортостан,Приволжский,131 942,1957,1963,
644,Нефтекумск,Ставропольский край,Северо-Кавказский,23 137,1958,1968,
645,Нефтеюганск,Ханты-Мансийский АО,Уральский,124 732,1961,1967,
646,Нея,Костромская область,Центральный,7 816,1906,1958,
647,Нижневартовск,Ханты-Мансийский АО,Уральский,283 256,1909,1972,
648,Нижнекамск,Татарстан,Приволжский,241 479,1961,1966,
649,Нижнеудинск,Иркутская область,Сибирский,29 995,1648,1783,"Покровский городок, Удинский острожек"
650,Нижние Серги,Свердловская область,Уральский,8 009,1743,1943,
651,Нижний Ломов,Пензенская область,Приволжский,20 421,1636,1780,
652,Нижний Новгород,Нижегородская область,Приволжский,1 204 985,1221,1221,Горький (с 1932 до 1990)
653,Нижний Тагил,Свердловская область,Уральский,338 966,1722,1919,"Тагильский завод, Выйский завод"
654,Нижняя Салда,Свердловская область,Уральский,16 505,1760,1938,
655,Нижняя Тура,Свердловская область,Уральский,18 392,1754,1949,Нижне-Туринский завод;
656,Николаевск,Волгоградская область,Южный,13 460,1747,1967,
657,Николаевск-на-Амуре,Хабаровский край,Дальневосточный,18 631,1850,1856,Николаевск (до 1926)
658,Никольск,Вологодская область,Северо-Западный,7 661,XIV век,1780,Никольский погост (до 1780)
659,Никольск,Пензенская область,Приволжский,19 873,1761,1954,Николо-Пестровка
660,Никольское,Ленинградская область,Северо-Западный,22 355,1710,1990,"Николаевское, Плитная Ломка"
661,Новая Ладога,Ленинградская область,Северо-Западный,7 432,1704,1704,
662,Новая Ляля,Свердловская область,Уральский,10 684,1903,1938,Ляля (до 1903)
663,Новоалександровск,Ставропольский край,Северо-Кавказский,26 767,1804,1971,Новоалександровская (до 1971)
664,Новоалтайск,Алтайский край,Сибирский,73 049,1736,1942,Чесноковка (до 1962)
665,Новоаннинский,Волгоградская область,Южный,15 351,1872,1956,
666,Нововоронеж,Воронежская область,Центральный,30 658,1957,1987,Ново-Грэсовский
667,Новодвинск,Архангельская область,Северо-Западный,33 294,1936,1977,Ворошиловский (до 1957);
668,Новозыбков,Брянская область,Центральный,38 680,1701,1809,Зыбкая (до 1809)
669,Новокубанск,Краснодарский край,Южный,34 000,1867,1966,Хуторок (до 1961)
670,Новокузнецк,Кемеровская область,Сибирский,537 480,1618,1622,Кузнецкий острог (до 1622);
671,Новокуйбышевск,Самарская область,Приволжский,98 306,1946,1952,Липяги
672,Новомичуринск,Рязанская область,Центральный,16 900,1968,1981,
673,Новомосковск,Тульская область,Центральный,119 697,1930,1930,Бобрики (до 1933);
674,Новопавловск,Ставропольский край,Северо-Кавказский,20 781,1777,1981,Новопавловская (до 1981)
675,Новоржев,Псковская область,Северо-Западный,3 222,1777,1777,"Ржева, Ржева Пустая, Аршо"
676,Новороссийск,Краснодарский край,Южный,262 293,1838,1866,
677,Новосибирск,Новосибирская область,Сибирский,1 633 595,1893,1903,Александровский (до 1895);
678,Новосиль,Орловская область,Центральный,2 912,1155,1777,
679,Новосокольники,Псковская область,Северо-Западный,6 895,1901,1925,
680,Новотроицк,Оренбургская область,Приволжский,75 960,1920,1945,Ново-Троицк
681,Новоузенск,Саратовская область,Приволжский,15 216,1760,1835,"Чертанла, Новый Узень"
682,Новоульяновск,Ульяновская область,Приволжский,13 673,1957,1967,Кременки
683,Новоуральск,Свердловская область,Уральский,78 479,1941,1954,Свердловск-44 (до 1994)
684,Новохопёрск,Воронежская область,Центральный,5 948,1710,1779,
685,Новочебоксарск,Чувашия,Приволжский,120 375,1960,1965,Спутник (до 1965)
686,Новочеркасск,Ростовская область,Южный,163 674,1805,1805,
687,Новошахтинск,Ростовская область,Южный,103 480,1910,1939,
688,Новый Оскол,Белгородская область,Центральный,18 359,1637,1647,Царёв-Алексеев (до 1655)
689,Новый Уренгой,Ямало-Ненецкий АО,Уральский,107 251,1975,1980,
690,Ногинск,Московская область,Центральный,103 891,1389,1781,Рогож (до 1781);
691,Нолинск,Кировская область,Приволжский,8 262,1668,1780,Молотовск (с 1940 по 1957)
692,Норильск,Красноярский край,Сибирский,174 453,1935,1953,
693,Ноябрьск,Ямало-Ненецкий АО,Уральский,100 188,1976,1982,Ноябрьский (до 1979)
694,Нурлат,Татарстан,Приволжский,33 990,1905,1961,Нурлат-Октябрьский
695,Нытва,Пермский край,Приволжский,16 675,1756,1942,
696,Нюрба,Якутия,Дальневосточный,10 138,1824,1997,
697,Нягань,Ханты-Мансийский АО,Уральский,63 034,1965,1985,Нях (до 1985)
698,Нязепетровск,Челябинская область,Уральский,10 379,1747,1944,"Нязе-Петровский завод, Нязе-Петровск"
699,Няндома,Архангельская область,Северо-Западный,18 473,1898,1939,
700,Облучье,Еврейская АО,Дальневосточный,7 959,1911,1915,Сололи (до 1915)
701,Обнинск,Калужская область,Центральный,125 376,1946,1956,
702,Обоянь,Курская область,Центральный,11 844,1639,1779,
703,Обь,Новосибирская область,Сибирский,30 369,1934,1969,
704,Одинцово,Московская область,Центральный,180 530,1470,1957,
705,Озёрск,Калининградская область,Северо-Западный,4 152,1539,1726,Даркемен (до 1938);
706,Озёрск,Челябинская область,Уральский,76 896,1945,1954,База-10 (до 1954);
707,Озёры,Московская область,Центральный,24 359,1834,1925,Озерки
708,Ойсхара,Чечня,Северо-Кавказский,19 415,1732,2024,"Ойсунгур (до 1944),;"
709,Октябрьск,Самарская область,Приволжский,20 703,1684,1956,Батраки
710,Октябрьский,Башкортостан,Приволжский,115 557,1937,1946,Соцгород (до 1946)
711,Окуловка,Новгородская область,Северо-Западный,9 949,1851,1965,
712,Олёкминск,Якутия,Дальневосточный,8 398,1635,1783,
713,Оленегорск,Мурманская область,Северо-Западный,21 438,1949,1957,Оленья (до 1957)
714,Олонец,Карелия,Северо-Западный,7 663,1137,1649,
715,Омск,Омская область,Сибирский,1 125 695,1716,1782,"Омский острог, Омская крепость"
716,Омутнинск,Кировская область,Приволжский,19 629,1773,1921,"Осокино, Омутная"
717,Онега,Архангельская область,Северо-Западный,16 947,1137,1780,Устье Онежское (до 1780);
718,Опочка,Псковская область,Северо-Западный,9 928,1414,1412,
719,Орёл,Орловская область,Центральный,303 169,1566,1566,
720,Оренбург,Оренбургская область,Приволжский,543 654,1743,1743,Чкалов (с 1938 по 1957)
721,Орехово-Зуево,Московская область,Центральный,105 745,1917,1917,
722,Орлов,Кировская область,Приволжский,5 508,1459,1780,Халтурин (с 1923 по 1992)
723,Орск,Оренбургская область,Приволжский,189 195,1735,1865,Оренбург ( с 1735 до 1741)
